,PHARMACLASS,DRUG
3002579,N0000185503,J05A
3002580,N0000191267,N03A
3002581,N0000181819,R05D
3002582,N0000175450,S03B
3002583,N0000007706,S01E
3002584,N0000175764,N02C
3002585,N0000171131,C05A
3002586,N0000185506,L01E
3002587,N0000007853,D06A
3002588,N0000175450,A07E
3002589,N0000175732,M03A
3002590,N0000007770,L01B
3002591,N0000175764,N02C
3002592,N0000008638,H01C
3002593,N0000185506,A04A
3002594,N0000175073,L01X
3002595,N0000009909,C05A
3002596,N0000182139,L01E
3002597,N0000000236,L01A
3002598,N0000191277,B02B
3002599,N0000007542,N05C
3002600,N0000175632,B02A
3002601,N0000011311,J01D
3002602,N0000175732,M03A
3002603,N0000000190,R06A
3002604,N0000185504,R03D
3002605,N0000008832,B01A
3002606,N0000185607,J05A
3002607,N0000008486,N03A
3002608,N0000175450,D07A
3002609,N0000190113,B02B
3002610,N0000000207,N05B
3002611,N0000000109,N06A
3002612,N0000008486,N03A
3002613,N0000185506,N03A
3002614,N0000175433,D06A
3002615,N0000180999,C09C
3002616,N0000182141,L04A
3002617,N0000008241,G03B
3002618,N0000000196,N05C
3002619,N0000182138,V03A
3002620,N0000000102,N06A
3002621,N0000011161,S01A
3002622,N0000000209,R01B
3002623,N0000008217,G01A
3002624,N0000187061,C01E
3002625,N0000175730,M03B
3002626,N0000175702,N07B
3002627,N0000007618,N04B
3002628,N0000191423,J05A
3002629,N0000008553,C10A
3002630,N0000000069,C08C
3002631,N0000007681,N01B
3002632,N0000190118,J05A
3002633,N0000182138,L01E
3002634,N0000009267,D06B
3002635,N0000191264,J05A
3002636,N0000175460,J05A
3002637,N0000008859,C03D
3002638,N0000010258,V08A
3002639,N0000006337,A11C
3002640,N0000175975,N01A
3002642,N0000187058,A10B
3002643,N0000000125,G04B
3002644,N0000010258,V08A
3002645,N0000008217,J02A
3002646,N0000185506,L01X
3002647,N0000175721,M01A
3002648,N0000008054,A10B
3002649,N0000007542,N03A
3002650,N0000175651,A08A
3002651,N0000007544,R06A
3002652,N0000175085,D01A
3002653,N0000000146,G03B
3002654,N0000175817,A04A
3002655,N0000007889,A07A
3002656,N0000011281,J01C
3002657,N0000007556,C08C
3002658,N0000000236,L01X
3002659,N0000175788,C01E
3002660,N0000175512,D06B
3002661,N0000000122,R06A
3002662,N0000175862,V08C
3002663,N0000175917,H03B
3002664,N0000175684,N02A
3002665,N0000167094,N07X
3002666,N0000178477,C09C
3002667,N0000000070,C09C
3002668,N0000000233,L01B
3002669,N0000008832,B01A
3002670,N0000009909,R07A
3002671,N0000175361,C02K
3002672,N0000175912,A10B
3002673,N0000007542,N05B
3002674,N0000008859,C03D
3002675,N0000175084,H01C
3002676,N0000000166,A10B
3002677,N0000008217,J02A
3002678,N0000175359,C03A
3002679,N0000000233,L01B
3002680,N0000175547,R05C
3002681,N0000011161,J01D
3002682,N0000187061,J05A
3002683,N0000000190,R06A
3002684,N0000011161,J01D
3002685,N0000175469,J05A
3002686,N0000008663,L04A
3002687,N0000008486,N03A
3002688,N0000175359,B05B
3002689,N0000175808,A16A
3002690,N0000008048,S01E
3002691,N0000175915,H01B
3002692,N0000000207,N04A
3002693,N0000185607,L02B
3002694,N0000182137,C01E
3002695,N0000175982,B02B
3002696,N0000175442,D10A
3002697,N0000175459,J05A
3002698,N0000175359,C03A
3002699,N0000009371,A06A
3002701,N0000008486,N03A
3002702,N0000182137,G04B
3002703,N0000175830,G03A
3002704,N0000190107,L01E
3002705,N0000190114,C01E
3002706,N0000007961,B01A
3002707,N0000007606,J01M
3002708,N0000182141,C10A
3002709,N0000011280,B01A
3002710,N0000008048,S01A
3002711,N0000010288,B05B
3002712,N0000175459,J05A
3002713,N0000175372,A08A
3002714,N0000166469,C03A
3002715,N0000175450,A01A
3002716,N0000175976,N01B
3002717,N0000170118,A10B
3002718,N0000000144,V03A
3002719,N0000007911,J04A
3002720,N0000007544,N05A
3002721,N0000000125,S01F
3002722,N0000008217,G01A
3002723,N0000175729,N06B
3002724,N0000000174,N02A
3002726,N0000007683,A02B
3002727,N0000000176,L01D
3002728,N0000010258,V08A
3002729,N0000005760,A07E
3002730,N0000008048,S01E
3002731,N0000009923,C07A
3002732,N0000175917,H03B
3002733,N0000000069,C08D
3002734,N0000175450,H02A
3002735,N0000190114,J05A
3002737,N0000009801,L01X
3002738,N0000175359,C03D
3002739,N0000006688,A16A
3002740,N0000000083,R03D
3002741,N0000175763,N02C
3002742,N0000185504,L01E
3002743,N0000175862,V08C
3002744,N0000006269,D10A
3002745,N0000175763,N02C
3002746,N0000008010,A04A
3002747,N0000178478,C01C
3002748,N0000175975,N01A
3002749,N0000007780,L01C
3002750,N0000175372,N06B
3002751,N0000175763,N02C
3002752,N0000010262,A04A
3002753,N0000175450,A07E
3002755,N0000178324,L03A
3002756,N0000184143,A16A
3002758,N0000175076,L01E
3002759,N0000175359,C03A
3002761,N0000009176,D06B
3002762,N0000008832,B01A
3002763,N0000185607,N03A
3002764,N0000187062,L01E
3002765,N0000007606,J01M
3002766,N0000020015,N06D
3002767,N0000009269,D06B
3002769,N0000005760,A07E
3002770,N0000000239,M04A
3002771,N0000182140,A02B
3002772,N0000175686,N02A
3002773,N0000011272,A10B
3002774,N0000000102,N06A
3002775,N0000000246,J05A
3002776,N0000185007,G04B
3002777,N0000007621,N02C
3002778,N0000166469,C03A
3002779,N0000009801,S01L
3002780,N0000007663,P01A
3002781,N0000007707,M05B
3002782,N0000009948,J05A
3002783,N0000006999,L01X
3002784,N0000000243,L02B
3002785,N0000000125,G04B
3002787,N0000020060,J05A
3002788,N0000185503,L01E
3002789,N0000009918,N05C
3002790,N0000020000,L01E
3002791,N0000007544,N05A
3002792,N0000175970,B02B
3002793,N0000000125,G04B
3002794,N0000007911,J04A
3002795,N0000011402,G03C
3002796,N0000007544,N05A
3002797,N0000010217,D05B
3002798,N0000000196,N05C
3002799,N0000009982,D10A
3002800,N0000011301,G03A
3002801,N0000175628,R01A
3002802,N0000190482,B01A
3002803,N0000000176,L01D
3002804,N0000009922,R03A
3002805,N0000010288,A06A
3002806,N0000182141,J05A
3002807,N0000175684,N07B
3002808,N0000000154,A06A
3002809,N0000175076,L01E
3002810,N0000175729,N06B
3002811,N0000007530,L01D
3002812,N0000175862,V08C
3002813,N0000009924,C07A
3002814,N0000175085,L01D
3002815,N0000175968,B02B
3002816,N0000175075,L01X
3002817,N0000175721,M01A
3002818,N0000000083,R03D
3002819,N0000008486,N03A
3002820,N0000008853,D01A
3002821,N0000175684,N02A
3002822,N0000185504,J01E
3002823,N0000185503,C01B
3002824,N0000007911,J04A
3002825,N0000000109,N06A
3002826,N0000175359,C03B
3002827,N0000175686,N02A
3002828,N0000175508,J02A
3002829,N0000008836,N02B
3002830,N0000166469,C03A
3002831,N0000009918,N02C
3002832,N0000190108,L01E
3002833,N0000000243,L02B
3002834,N0000000191,P01B
3002836,N0000182141,J05A
3002837,N0000007700,L01X
3002838,N0000175684,N02A
3002839,N0000190107,J05A
3002840,N0000000069,C08C
3002841,N0000182140,J02A
3002842,N0000175359,C03B
3002843,N0000008217,G01A
3002844,N0000175850,D11A
3002845,N0000000174,R05D
3002848,N0000187064,L01E
3002849,N0000190113,J05A
3002850,N0000011414,J01F
3002851,N0000000104,S01E
3002852,N0000007707,M05B
3002853,N0000000194,H01C
3002854,N0000175817,A04A
3002855,N0000175632,B02A
3002856,N0000000236,L01D
3002857,N0000185504,J02A
3002858,N0000190118,N03A
3002859,N0000007700,D05A
3002860,N0000008054,A10B
3002861,N0000007556,C08C
3002862,N0000000125,G04B
3002863,N0000007542,N05B
3002864,N0000008486,N03A
3002865,N0000185503,L01E
3002866,N0000175359,C03A
3002867,N0000175436,J05A
3002868,N0000020060,S01A
3002869,N0000182141,R07A
3002870,N0000185503,L04A
3002871,N0000185504,J02A
3002872,N0000000069,C08C
3002873,N0000000233,L04A
3002874,N0000190114,J05A
3002876,N0000175729,N06B
3002877,N0000000151,A02B
3002878,N0000178477,C09A
3002879,N0000175763,N02C
3002880,N0000000190,R06A
3002881,N0000185507,N03A
3002882,N0000185503,C10A
3002883,N0000000168,L02B
3002884,N0000006996,D05A
3002885,N0000000233,L01B
3002886,N0000008486,N03A
3002887,N0000007566,D01A
3002888,N0000182143,B01A
3002889,N0000009947,J05A
3002890,N0000000160,S01B
3002891,N0000175365,C10A
3002893,N0000175972,L01X
3002894,N0000175450,D07A
3002895,N0000009918,M03B
3002896,N0000000233,L01B
3002897,N0000008217,H02C
3002898,N0000007853,J01G
3002899,N0000007700,D10A
3002900,N0000191267,J01X
3002901,N0000000146,G03B
3002903,N0000182147,R05D
3002904,N0000175729,N06B
3002905,N0000009948,J05A
3002906,N0000175969,B02B
3002907,N0000011161,J01D
3002908,N0000191266,N03A
3002909,N0000008016,N05C
3002910,N0000175459,J05A
3002911,N0000007710,G02A
3002912,N0000190111,L01E
3002913,N0000008217,D01A
3002914,N0000191265,L01E
3002916,N0000185503,J05A
3002917,N0000190107,J05A
3002918,N0000008486,N03A
3002919,N0000007196,S01E
3002920,N0000000100,G03C
3002921,N0000007658,J01X
3002922,N0000008330,C07A
3002924,N0000007568,J01X
3002925,N0000175086,L01X
3002926,N0000175976,N01B
3002927,N0000175721,M01A
3002928,N0000191272,J05A
3002929,N0000008048,N03A
3002930,N0000187061,L01E
3002931,N0000175628,R01A
3002932,N0000175685,N02A
3002933,N0000175076,L04A
3002934,N0000175460,J05A
3002935,N0000175375,C10A
3002936,N0000175685,N02A
3002937,N0000175359,C03B
3002938,N0000009917,R01B
3002939,N0000187064,J05A
3002940,N0000185607,L01E
3002942,N0000175651,N06B
3002943,N0000000236,L01A
3002944,N0000184148,L01X
3002945,N0000008054,A10B
3002947,N0000007681,N01B
3002948,N0000006277,A11C
3002949,N0000178478,C01C
3002950,N0000175975,N05C
3002951,N0000171131,C05A
3002952,N0000185503,L01E
3002953,N0000000236,L01A
3002954,N0000007909,D05B
3002955,N0000175379,D11A
3002956,N0000007948,J01A
3002957,N0000175817,A04A
3002958,N0000008841,D10A
3002959,N0000175635,B01A
3002960,N0000005934,G03D
3002961,N0000007948,D06A
3002962,N0000187064,J05A
3002963,N0000008486,N03A
3002964,N0000009905,C05B
3002965,N0000011281,J01C
3002966,N0000000174,A07D
3002967,N0000175721,N02B
3002968,N0000007706,S01E
3002969,N0000175366,C03C
3002970,N0000011310,C03D
3002971,N0000007529,S01A
3002972,N0000007542,N05C
3002973,N0000175975,N01A
3002974,N0000175914,H01B
3002975,N0000175450,S01B
3002976,N0000175729,N06B
3002977,N0000000176,L01C
3002978,N0000190110,L01E
3002979,N0000182141,A04A
3002980,N0000000106,S01E
3002981,N0000008054,V04C
3002982,N0000000070,C09C
3002983,N0000185507,N03A
3002984,N0000008053,J04B
3002985,N0000182143,B01A
3002987,N0000000102,N06A
3002988,N0000009922,R03C
3002989,N0000190115,H02C
3002990,N0000010217,L01X
3002991,N0000185503,R07A
3002992,N0000175912,A10B
3002993,N0000175976,N01B
3002994,N0000175085,L01X
3002995,N0000190114,L01E
3002996,N0000000206,M04A
3002997,N0000185506,N03A
3002998,N0000011301,G03A
3002999,N0000182143,B01A
3003000,N0000175965,B02B
3003001,N0000007715,C01C
3003002,N0000170118,C10A
3003003,N0000190107,B02B
3003004,N0000007715,R03A
3003005,N0000007706,G02A
3003006,N0000000190,S01G
3003007,N0000000154,N07B
3003008,N0000182141,L04A
3003009,N0000175076,L01E
3003010,N0000008217,A01A
3003011,N0000008478,D09A
3003012,N0000167510,G03C
3003013,N0000011301,G03A
3003014,N0000009948,J05A
3003015,N0000007544,N05A
3003016,N0000007780,L01C
3003017,N0000175799,N05A
3003018,N0000000176,L01D
3003019,N0000009982,S01A
3003020,N0000007606,J01M
3003021,N0000175374,A10B
3003022,N0000011272,A10B
3003023,N0000175976,N01B
3003024,N0000175450,S01B
3003025,N0000182141,J05A
3003026,N0000006276,B03B
3003027,N0000007556,C08C
3003028,N0000191624,P02C
3003029,N0000182137,L01E
3003030,N0000182138,C01B
3003031,N0000007707,M05B
3003032,N0000000146,G03B
3003033,N0000009909,B01A
3003034,N0000007542,N05C
3003035,N0000008486,N03A
3003036,N0000007706,G04B
3003037,N0000185504,J05A
3003038,N0000175450,D07A
3003041,N0000007542,N05B
3003042,N0000009526,S01E
3003043,N0000009724,A02B
3003044,N0000182137,J05A
3003045,N0000008217,G01A
3003046,N0000185503,H02C
3003047,N0000175976,S01H
3003048,N0000007544,N05A
3003049,N0000175459,J05A
3003050,N0000175729,N06B
3003051,N0000175763,N02C
3003052,N0000175450,D07A
3003053,N0000000151,A02B
3003054,N0000000146,G03X
3003055,N0000008732,D01A
3003056,N0000000114,A08A
3003057,N0000006277,D05A
3003058,N0000000160,S01B
3003059,N0000175549,A16A
3003060,N0000009909,B01A
3003061,N0000005760,A07E
3003062,N0000190114,J01F
3003064,N0000191278,B02B
3003065,N0000007948,G01A
3003066,N0000007672,A07A
3003067,N0000000233,L01B
3003069,N0000007556,C08C
3003070,N0000009456,N06A
3003071,N0000175436,J05A
3003072,N0000007853,J01G
3003074,N0000000236,L01A
3003075,N0000175459,J05A
3003076,N0000175359,C03D
3003077,N0000011281,J01C
3003078,N0000008867,R05C
3003079,N0000008118,N06B
3003080,N0000182137,L04A
3003081,N0000175799,A03F
3003082,N0000182141,H02C
3003083,N0000000190,S01G
3003084,N0000020081,H05B
3003085,N0000175851,D11A
3003086,N0000175721,M02A
3003087,N0000185503,N03A
3003088,N0000175721,G02C
3003089,N0000000236,L01C
3003091,N0000175921,V04C
3003093,N0000175533,S01J
3003094,N0000190115,B01A
3003095,N0000185506,L02B
3003096,N0000175964,B01A
3003097,N0000007606,S02A
3003098,N0000011301,G03A
3003099,N0000170119,A10B
3003100,N0000175755,N04B
3003101,N0000182140,N03A
3003102,N0000007606,J01M
3003103,N0000000150,D01A
3003104,N0000009947,J05A
3003105,N0000009911,G04B
3003107,N0000007700,D05B
3003108,N0000000115,G03X
3003109,N0000009947,J05A
3003110,N0000000069,C08C
3003111,N0000011161,J01D
3003112,N0000009871,A06A
3003113,N0000008217,D01A
3003114,N0000185506,J01X
3003115,N0000000190,R06A
3003116,N0000011161,J01D
3003117,N0000175763,N02C
3003118,N0000175479,D10A
3003119,N0000185506,J05A
3003120,N0000011161,J01D
3003121,N0000000190,R06A
3003122,N0000000236,L01X
3003123,N0000191273,B02B
3003124,N0000007529,J01F
3003125,N0000185507,L01E
3003126,N0000187064,N03A
3003127,N0000007883,N06B
3003128,N0000000109,N06A
3003129,N0000175721,N02B
3003130,N0000007544,N05A
3003131,N0000007700,D10A
3003132,N0000175459,J05A
3003133,N0000182140,J01X
3003134,N0000182638,J05A
3003135,N0000175076,L01E
3003136,N0000182141,J02A
3003137,N0000011281,J01C
3003138,N0000175508,J02A
3003139,N0000020024,C05B
3003140,N0000011281,J01C
3003141,N0000175542,J05A
3003142,N0000009393,R07A
3003143,N0000175076,L01E
3003144,N0000000202,J01C
3003145,N0000187062,J01E
3003146,N0000007948,J01A
3003147,N0000008486,N03A
3003148,N0000000069,C08C
3003149,N0000008486,N03A
3003150,N0000009947,J05A
3003151,N0000175654,L02A
3003152,N0000000102,N06B
3003153,N0000007522,D01A
3003154,N0000175650,C02A
3003155,N0000175087,G04B
3003156,N0000006290,B02B
3003157,N0000000069,C08C
3003158,N0000175764,N02C
3003159,N0000175685,N02A
3003160,N0000170118,C10A
3003161,N0000182141,L01E
3003162,N0000009871,A06A
3003163,N0000175085,L01C
3003164,N0000007681,N01B
3003165,N0000175763,N02C
3003166,N0000175912,A10B
3003167,N0000175960,R05C
3003168,N0000175628,R06A
3003169,N0000000166,A10B
3003170,N0000175629,C05A
3003171,N0000000111,L01B
3003172,N0000175085,L01C
3003173,N0000007618,N04B
3003174,N0000010217,S01L
3003176,N0000000236,L01A
3003177,N0000008486,N03A
3003178,N0000191280,J01X
3003179,N0000008241,G03B
3003180,N0000175075,L01X
3003181,N0000187063,L01E
3003182,N0000000250,N05C
3003183,N0000175764,N02C
3003184,N0000000233,L01X
3003185,N0000007542,N05C
3003186,N0000175730,M03B
3003187,N0000178477,C09A
3003188,N0000182141,J01F
3003189,N0000175817,A04A
3003190,N0000175450,S02B
3003191,N0000182137,N06A
3003192,N0000000176,L01C
3003193,N0000166469,C03A
3003194,N0000007606,J01M
3003195,N0000175372,A08A
3003196,N0000007542,N05C
3003197,N0000175073,L01X
3003198,N0000175459,D01A
3003199,N0000184306,C05A
3003200,N0000175459,S01A
3003201,N0000185503,B01A
3003202,N0000007822,S03A
3003203,N0000007556,C08C
3003204,N0000011281,J01C
3003205,N0000182137,N05B
3003206,N0000008241,G03X
3003207,N0000008048,J01E
3003208,N0000000102,N06A
3003209,N0000007544,N05A
3003210,N0000009034,R06A
3003211,N0000020019,A16A
3003212,N0000175372,A08A
3003213,N0000000194,H01C
3003214,N0000190114,J05A
3003215,N0000007570,N05C
3003216,N0000175976,N01B
3003217,N0000187062,V03A
3003218,N0000000102,A08A
3003219,N0000175459,S01A
3003220,N0000007853,J01G
3003221,N0000175721,M02A
3003222,N0000171207,L01X
3003223,N0000185499,A06A
3003224,N0000000236,L01A
3003225,N0000007700,L01X
3003227,N0000011301,G03D
3003228,N0000175686,N02A
3003229,N0000009922,R03C
3003230,N0000175721,S01B
3003231,N0000008065,L04A
3003232,N0000175788,C01E
3003233,N0000182728,N03A
3003234,N0000175755,C01C
3003235,N0000175460,J05A
3003236,N0000175448,A10B
3003237,N0000175076,L01E
3003238,N0000008841,D01A
3003239,N0000008118,R03D
3003240,N0000175459,J05A
3003241,N0000175076,L01E
3003242,N0000175721,M01A
3003243,N0000007606,S01A
3003244,N0000191274,B02B
3003245,N0000182140,J02A
3003246,N0000008486,N03A
3003247,N0000175721,G02C
3003248,N0000175624,S01X
3003249,N0000175359,C03A
3003250,N0000181815,L04A
3003252,N0000175684,N01A
3003253,N0000007707,M05B
3003254,N0000175459,J05A
3003255,N0000187061,J01E
3003256,N0000009801,D05B
3003258,N0000000100,G03C
3003259,N0000182141,J05A
3003260,N0000007647,C05A
3003261,N0000007706,S01E
3003262,N0000008217,J02A
3003263,N0000000104,N07A
3003264,N0000000176,L01D
3003265,N0000186774,J04A
3003266,N0000175728,N05C
3003267,N0000011161,J01D
3003268,N0000000243,L02B
3003269,N0000000236,L01A
3003270,N0000175764,N02C
3003271,N0000182140,A02B
3003272,N0000175764,N02C
3003273,N0000000116,M03B
3003274,N0000007542,N05B
3003275,N0000000109,A08A
3003276,N0000175450,D07A
3003277,N0000000102,N06A
3003279,N0000000151,A02B
3003280,N0000006014,P03A
3003281,N0000009948,J05A
3003282,N0000175628,S01G
3003284,N0000175542,N04B
3003286,N0000175684,N01A
3003287,N0000187058,A10B
3003289,N0000182137,C01B
3003290,N0000008486,N02B
3003291,N0000175516,R01A
3003292,N0000007681,N01B
3003293,N0000000070,C09C
3003295,N0000175733,M03A
3003296,N0000175076,L01E
3003297,N0000007715,C01C
3003298,N0000000102,N06A
3003299,N0000007542,N05B
3003300,N0000170119,A10B
3003301,N0000175628,A01A
3003302,N0000175460,J05A
3003303,N0000175764,N02C
3003304,N0000007911,A07A
3003305,N0000175366,C03C
3003306,N0000000125,G04B
3003307,N0000007698,A10B
3003308,N0000175684,N02A
3003309,N0000008048,J01E
3003311,N0000175550,S01X
3003312,N0000175459,D06B
3003313,N0000182141,J05A
3003314,N0000000176,L01D
3003317,N0000000111,L01B
3003318,N0000011161,J01D
3003319,N0000175456,A06A
3003320,N0000175450,D07A
3003321,N0000175644,C02B
3003322,N0000011161,J01D
3003323,N0000020060,J05A
3003324,N0000175721,S01B
3003325,N0000000104,N07A
3003326,N0000020026,G04B
3003327,N0000009922,R03A
3003328,N0000011280,B01A
3003329,N0000175085,L01C
3003330,N0000175684,N01A
3003331,N0000009947,J05A
3003332,N0000007529,S01A
3003333,N0000175459,J05A
3003334,N0000175459,J05A
3003335,N0000009945,C03X
3003336,N0000190113,L01E
3003337,N0000175459,J05A
3003338,N0000006996,H05B
3003339,N0000182141,J02A
3003340,N0000175817,A03A
3003341,N0000182141,C01B
3003343,N0000009065,C04A
3003344,N0000175967,B02B
3003345,N0000175472,V03A
3003346,N0000185503,J05A
3003347,N0000011161,J01D
3003348,N0000166469,C03A
3003349,N0000175685,N02A
3003350,N0000175629,C05A
3003351,N0000009010,R05D
3003352,N0000007707,M05B
3003353,N0000000191,J01E
3003354,N0000020060,D06B
3003355,N0000007948,J01A
3003356,N0000182137,C01B
3003357,N0000000151,A02B
3003358,N0000008048,S01A
3003359,N0000182141,J05A
3003361,N0000007530,L01D
3003362,N0000006496,N07B
3003363,N0000175721,S01B
3003364,N0000190482,A16A
3003365,N0000008054,A10B
3003366,N0000185607,N03A
3003368,N0000175370,A03A
3003369,N0000175379,C02D
3003370,N0000008832,B01A
3003371,N0000185503,C01E
3003373,N0000175366,C03C
3003375,N0000190114,R07A
3003376,N0000009282,N06A
3003377,N0000008953,M03C
3003378,N0000175460,J05A
3003379,N0000182960,R03D
3003380,N0000000233,L01B
3003381,N0000186778,C10A
3003382,N0000009922,R03A
3003383,N0000007542,N05B
3003384,N0000007647,C01D
3003385,N0000011281,J01C
3003386,N0000007672,G01A
3003387,N0000191276,B02B
3003388,N0000175366,C03C
3003389,N0000185506,V03A
3003390,N0000175076,S01X
3003391,N0000020060,J05A
3003392,N0000182141,B01A
3003393,N0000175735,M03C
3003394,N0000008836,S01B
3003395,N0000185507,A04A
3003396,N0000175375,C10A
3003398,N0000000160,M01A
3003400,N0000187064,N03A
3003401,N0000185507,L02B
3003402,N0000000069,C08C
3003403,N0000006320,H01B
3003404,N0000190114,J05A
3003405,N0000175729,N06B
3003406,N0000008486,N03A
3003407,N0000175650,C02A
3003408,N0000008486,N03A
3003409,N0000000236,L01A
3003410,N0000000176,L01C
3003411,N0000007707,M05B
3003412,N0000007672,A01A
3003413,N0000175730,M03B
3003414,N0000000069,C08C
3003415,N0000007530,L01D
3003416,N0000008577,D01A
3003417,N0000007853,D06A
3003418,N0000008217,D01A
3003419,N0000175729,N06B
3003420,N0000175450,D07A
3003421,N0000175761,N04B
3003422,N0000000125,G04B
3003423,N0000000109,N06A
3003424,N0000009922,R03A
3003425,N0000000233,S01A
3003426,N0000175975,N01A
3003427,N0000011294,J01D
3003428,N0000008486,N03A
3003429,N0000008832,B01A
3003431,N0000007659,L01X
3003432,N0000191272,B02B
3003433,N0000191275,B02B
3003434,N0000190118,J05A
3003435,N0000182141,J02A
3003436,N0000007620,N04B
3003437,N0000000196,M03B
3003438,N0000175728,N05C
3003440,N0000175450,H02A
3003441,N0000010258,V08A
3003442,N0000011281,J01C
3003443,N0000020060,J05A
3003444,N0000187062,J05A
3003445,N0000007556,C08C
3003446,N0000000243,L02B
3003447,N0000008010,A04A
3003448,N0000175975,N01A
3003449,N0000009916,A08A
3003450,N0000000176,L01C
3003451,N0000191266,N03A
3003452,N0000020074,V03A
3003453,N0000008241,G03B
3003454,N0000175448,A10B
3003455,N0000175833,A06A
3003456,N0000008217,G01A
3003457,N0000175436,J05A
3003458,N0000009963,B01A
3003459,N0000007647,C05A
3003460,N0000000233,L01B
3003461,N0000175976,N01B
3003462,N0000190114,J05A
3003463,N0000009947,J05A
3003464,N0000000144,V03A
3003465,N0000185504,J01X
3003466,N0000190109,J05A
3003467,N0000175730,M03B
3003468,N0000185504,R07A
3003469,N0000000069,C08D
3003470,N0000000168,G03X
3003471,N0000007853,B05C
3003472,N0000182140,J05A
3003473,N0000007529,A07A
3003474,N0000190115,J05A
3003475,N0000007530,L01D
3003476,N0000007556,C08C
3003477,N0000175073,L01X
3003478,N0000190855,N07X
3003479,N0000007618,G02A
3003480,N0000182141,M04A
3003481,N0000175459,J05A
3003482,N0000175684,N02A
3003483,N0000009918,C02A
3003484,N0000178477,C08C
3003486,N0000008732,D06B
3003487,N0000008054,A10B
3003488,N0000011310,C03D
3003489,N0000000235,N03A
3003490,N0000009909,C05A
3003491,N0000175721,S01B
3003492,N0000006801,A05A
3003493,N0000175721,M01A
3003494,N0000175721,M01A
3003495,N0000009982,D10A
3003496,N0000175721,M01A
3003497,N0000007641,C10A
3003498,N0000008479,R02A
3003499,N0000008048,D06B
3003500,N0000008832,B01A
3003501,N0000007909,D05A
3003502,N0000175459,J05A
3003503,N0000000190,R01A
3003504,N0000007246,L01X
3003505,N0000000070,C09C
3003506,N0000007681,N01B
3003507,N0000008118,R03D
3003508,N0000000190,D04A
3003509,N0000175721,M02A
3003510,N0000000100,G03C
3003511,N0000175721,M02A
3003512,N0000185503,J02A
3003513,N0000007522,D01B
3003514,N0000185503,J01F
3003515,N0000166469,C03A
3003516,N0000175508,J02A
3003517,N0000009948,J05A
3003518,N0000009909,C01D
3003519,N0000175684,N01A
3003520,N0000009034,R06A
3003521,N0000184306,C05A
3003522,N0000182638,J05A
3003524,N0000184145,R07A
3003525,N0000175975,N01A
3003526,N0000175721,R02A
3003527,N0000171207,L01X
3003528,N0000007556,C08C
3003529,N0000009059,G04B
3003530,N0000011280,B01A
3003531,N0000175721,M01A
3003532,N0000000190,S01G
3003533,N0000185503,L04A
3003534,N0000175450,A01A
3003535,N0000007853,S01A
3003536,N0000000144,V03A
3003537,N0000191269,J05A
3003539,N0000000070,C09C
3003540,N0000020060,J05A
3003541,N0000008836,M02A
3003542,N0000007948,J01A
3003543,N0000000109,N06A
3003544,N0000175076,L01E
3003545,N0000000236,L01X
3003546,N0000005760,A07E
3003547,N0000007700,D10A
3003548,N0000007780,L01C
3003549,N0000007621,N02C
3003550,N0000175359,C03A
3003551,N0000000233,L01B
3003552,N0000000191,P01B
3003553,N0000175450,C05A
3003555,N0000009947,J05A
3003556,N0000000236,L01A
3003557,N0000175976,N01B
3003558,N0000190108,J05A
3003559,N0000175862,V08C
3003560,N0000007542,N05C
3003561,N0000175459,J05A
3003562,N0000000106,G04B
3003563,N0000007681,N01B
3003564,N0000175721,M02A
3003565,N0000175651,A08A
3003566,N0000175975,N01A
3003567,N0000000183,P03A
3003569,N0000185504,C01B
3003571,N0000175651,N06B
3003572,N0000175862,V08C
3003573,N0000175654,H01C
3003574,N0000175921,L02B
3003575,N0000175450,D07A
3003576,N0000011161,J01D
3003577,N0000010258,V08A
3003579,N0000175459,L04A
3003580,N0000175450,C05A
3003581,N0000175732,M03A
3003582,N0000166743,N01B
3003583,N0000000236,L01A
3003584,N0000191280,J01X
3003585,N0000000236,L01A
3003586,N0000007663,J01X
3003587,N0000175862,V08C
3003588,N0000175684,N02A
3003589,N0000000190,R06A
3003590,N0000175374,A10B
3003591,N0000175964,B01A
3003592,N0000191258,J05A
3003593,N0000007715,C01C
3003594,N0000008157,C01A
3003595,N0000175076,L01E
3003596,N0000175684,N02A
3003597,N0000182638,J05A
3003598,N0000175445,J05A
3003599,N0000190118,J05A
3003600,N0000007706,S01E
3003601,N0000008217,J02A
3003602,N0000187063,N03A
3003603,N0000175684,N02A
3003604,N0000011161,J01D
3003605,N0000011281,J01C
